Trial Title,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
"A Multiple center, Open label, Dose Escalation Phase I Study of CycloSam For the Treatment of Metastatic Bone Cancer",I,Open,QSAM Biosciences,Oncology: Breast; Oncology: Osteosarcoma,(N/A); Line of therapy N/A; Metastatic,Breast Neoplasms; Ewing Sarcoma; Osteosarcoma,United States
"A Phase I/IIa, Multicenter, Open-Label, Non-Randomized First in Human Study to Assess the Safety, Tolerability, Pharmacokinetics, and Preliminary Antitumor Activity of DB-1310 in Subjects With Advanced/Metastatic Solid Tumors",I/II,Open,Duality Biologics,"Oncology: Breast; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Prostate; Oncology: Unspecified Solid Tumor",Adenocarcinoma; EGFR; HER2 positive; Hormone refractory; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Head and Neck Neoplasms; Prostatic Neoplasms",China; United States
Pilot Study of an Implantable Microdevice to Evaluate Drug Responses in Situ in Early-stage Triple-negative Breast Cancer,I,Terminated,Dana-Farber/Harvard Cancer Center at Dana Farber Cancer Institute,Oncology: Breast,HER2 negative; Neoadjuvant; Stage II; Stage III; Triple receptor negative,Breast Neoplasms; Carcinoma; Triple Negative Breast Neoplasms,United States
A Phase 1-2 Dose-escalation and Expansion Study of ST316 in Subjects With Selected Advanced Unresectable and Metastatic Solid Tumors,I/II,Open,Sapience Therapeutics,Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Melanoma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor,(N/A); Line of therapy N/A; Locally advanced; Metastatic; MSI-H/dMMR; PD-L1 Positive; Second line; Stage III; Stage IV; Third line,Bile Duct Neoplasms; Breast Neoplasms; Cholangiocarcinoma; Colorectal Neoplasms; Fibrosarcoma; Leiomyosarcoma; Liposarcoma; Melanoma; Ovarian Neoplasms; Pancreatic Neoplasms; Rhabdomyosarcoma; Sarcoma; Synovial Sarcoma; Uterine Cervical Neoplasms,United States
"First-in-Human Study of STX-478, a Mutant-Selective PI3Kα Inhibitor as Monotherapy and in Combination With Other Antineoplastic Agents in Participants With Advanced Solid Tumor",I/II,Open,Scorpion Therapeutics,Oncology: Breast; Oncology: Cervical; Oncology: Head/Neck; Oncology: Ovarian; Oncology: Unspecified Solid Tumor; Oncology: Vaginal; Oncology: Vulvar,Estrogen receptor positive; HER2 negative; Line of therapy N/A; Progesterone receptor positive; Stage III; Stage IV,Breast Neoplasms; Head and Neck Neoplasms; Ovarian Neoplasms; Uterine Cervical Neoplasms; Vaginal Neoplasms; Vulvar Neoplasms,United States
"A Phase I, 2-Part, Multicenter, First-In-Human Dose-Escalation and Dose-Expansion Study of DS-1103a Combination Therapy in Subjects with Advanced Solid Tumors",I,Open,"AstraZeneca
Daiichi Sankyo","Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Unspecified Solid Tumor",(N/A); Estrogen receptor positive; Line of therapy N/A; Progesterone receptor positive; Second line; Stage III; Stage IV; Third line,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Neoplasms",United States
A Phase I/Ib Study to Evaluate the Safety and Tolerability of AB598 Monotherapy and Combination Therapy in Participants With Advanced Malignancies,I,Open,Arcus Biosciences,"Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Renal; Oncology: Unspecified Cancer",First line; HER2 negative; Line of therapy N/A; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Esophageal Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Neoplasms; Ovarian Neoplasms; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Wilms Tumor",United States
Phase I/IIa Clinical Trial Evaluating the Safety and Efficacy of Rintatolimod Combined With IFNα2b (Bioferon®) to Enhance the Effectiveness of Pembrolizumab in Patients With Metastatic Triple Negative Breast Cancer,I/II,Planned,Roswell Park Cancer Institute,Oncology: Breast,First line; PD-L1 Positive; Stage III; Stage IV; Triple receptor negative,Breast Neoplasms; Carcinoma; Triple Negative Breast Neoplasms,United States
"A Phase I Study to Investigate the Safety, Tolerability, Pharmacokinetics/Pharmacodynamics, and Antitumor Activity of NM1F as Monotherapy and in Combination With Pembrolizumab in Subjects With Locally Advanced/Metastatic Solid Tumors",I,Open,Hefei TG ImmunoPharma Co.,Oncology: Breast; Oncology: Colorectal; Oncology: Melanoma; Oncology: Ovarian,HER2 negative; Second line; Stage III; Stage IV; Triple receptor negative,Breast Neoplasms; Colorectal Neoplasms; Melanoma; Ovarian Neoplasms; Triple Negative Breast Neoplasms,China; United States
"An Open-Label, Non-randomized, Multinational, Multi-center Phase I/II Study Evaluating the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of Bi-Ligand-Drug Conjugate CBP-1019 in Patients With Advanced Solid Tumors",I/II,Closed,Coherent Biopharma,"Oncology: Breast; Oncology: Colorectal; Oncology: Endometrial; Oncology: Esophageal; Oncology: Lung, Non-Small Cell; Oncology: Pancreas",Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Endometrial Neoplasms; Esophageal Neoplasms; Pancreatic Neoplasms",China; United States
"A Phase I/II, Open-Label Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of INX-315 in Patients With Advanced Cancer",I/II,Open,Incyclix Bio,Oncology: Breast; Oncology: Fallopian Tube; Oncology: Ovarian; Oncology: Primary Peritoneal; Oncology: Unspecified Solid Tumor,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV,Breast Neoplasms; Fallopian Tube Neoplasms; Neoplasms; Ovarian Neoplasms; Peritoneal Neoplasms,Australia; United States
"A First-in-Human Study of PI3Kα Inhibitor, RLY-5836, in Combination With Targeted and Endocrine Therapies in Participants With Advanced Breast Cancer and as a Single Agent in Advanced Solid Tumors",I,Open,Relay Therapeutics,Oncology: Breast; Oncology: Unspecified Solid Tumor,Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Second line; Stage III; Stage IV,Breast Neoplasms,United States
A Clinical Study to Evaluate TCC1727 for the Treatment of Various Types of Cancers,I,Planned,Sino Biopharmaceutical/Beijing Tide Pharmaceutical Co.,"Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Lung, Small Cell; Oncology: Ovarian",(N/A); Line of therapy N/A,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Ovarian Neoplasms; Small Cell Lung Carcinoma",United States
Combination Therapy of Niraparib and Irinotecan in Cancers With Mutations in DNA Repair Genes,I,Open,"GlaxoSmithKline
University of California, San Francisco",Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Breast; Oncology: Colorectal; Oncology: Gastric; Oncology: Ovarian; Oncology: Pancreas,Line of therapy N/A; Stage IV,Bile Duct Neoplasms; Breast Neoplasms; Cholangiocarcinoma; Colorectal Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Stomach Neoplasms,United States
"A First-in-Human, Multicenter, Phase I, Open-Label Study of XTX301 in Patients With Advanced Solid Tumors",I,Open,Xilio Therapeutics,"Oncology: Breast; Oncology: Colorectal; Oncology: Endometrial; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate",HER2 negative; MSI-H/dMMR; MSS/pMMR; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Endometrial Neoplasms; Head and Neck Neoplasms; Melanoma; Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms",United States
"A Study to Evaluate the Safety and Tolerability of the Covalent Phosphoinositide-3-Kinase (PI3K)-Alpha Inhibitor, TOS-358, in Adult Subjects With Select Solid Tumors",I,Open,Totus Medicines,"Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Endometrial; Oncology: Gastric; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Unspecified Solid Tumor",Fourth line or greater; HER2 negative; Second line; Stage III; Stage IV; Third line,"Breast Neoplasms; Carcinoma; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Endometrial Neoplasms; Head and Neck Neoplasms; Ovarian Neoplasms; Squamous Cell Carcinoma of Head and Neck; Stomach Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms",United States
"A Multicenter, Open-label, Phase I/II Clinical Trial to Evaluate the Safety and Anti-Tumor Activity ofAB-201 in Subjects With Advanced HER2+ Solid Tumors",I/II,Planned,Artiva Biotherapeutics,Oncology: Breast; Oncology: Esophageal; Oncology: Gastric,HER2 positive; Second line; Stage III; Stage IV,Adenocarcinoma; Breast Neoplasms; Esophageal Neoplasms; Stomach Neoplasms,South Korea; United States
Phase I Study Targeting DNA Methyltransferases in Metastatic Triple-Negative Breast Cancer,I,Open,National Institutes of Health/National Cancer Institute,Oncology: Breast,Fourth line or greater; HER2 negative; PD-1 Refractory; PD-L1 Refractory; Second line; Stage III; Stage IV; Third line; Triple receptor negative,Breast Neoplasms; Carcinoma; Triple Negative Breast Neoplasms,United States
Phase Ib IIT of Heat Shock Protein 90 Inhibitor TAS-116 Combined With Cyclin-dependent Kinase 4/6 Inhibitor Palbociclib in Advanced Breast Cancer Progressing on Palbociclib & Treatment-refractory Solid Tumors With Retinoblastoma Deficiency,I,Planned,Brown University Oncology Group,"Oncology: Bladder; Oncology: Breast; Oncology: Endometrial; Oncology: Lung, Small Cell; Oncology: Neuroendocrine; Oncology: Soft Tissue Sarcoma",(N/A); Estrogen receptor positive; HER2 negative; Progesterone receptor positive; Pulmonary; Second line; Stage III; Stage IV,Breast Neoplasms; Endometrial Neoplasms; Fibrosarcoma; Leiomyosarcoma; Liposarcoma; Neuroendocrine Tumors; Retinoblastoma; Rhabdomyosarcoma; Sarcoma; Small Cell Lung Carcinoma; Synovial Sarcoma; Urethral Neoplasms; Urinary Bladder Neoplasms,United States
"A Phase I Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Anti-Tumor Activity of AC699 in Patients With Estrogen Receptor Positive/Human Epidermal Growth Factor Receptor 2 Negative (ER+/HER2-) Locally Advanced or Metastatic Breast Cancer",I,Open,Accutar Biotechnology,Oncology: Breast,Estrogen receptor positive; HER2 negative; Second line; Stage III; Stage IV; Third line,Breast Neoplasms,United States
A Phase Ia/Ib Study of ELVN-002 for the Treatment of Patients With HER2 Mutant Non-Small Cell Lung Cancer,I,Open,Enliven Therapeutics,"Oncology: Breast; Oncology: Colorectal; Oncology: Gastric; Oncology: Lung, Non-Small Cell; Oncology: Unspecified Solid Tumor",Adenocarcinoma; HER2 positive; Large Cell; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Lung Neoplasms; Stomach Neoplasms",Australia; South Korea; United States
A Study of PARG Inhibitor IDE161 in Participants With Advanced Solid Tumors,I/II,Open,IDEAYA Biosciences,Oncology: Breast; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Unspecified Solid Tumor,BRCA; Second line; Stage III; Stage IV,Breast Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms,United States
"A First-in-Human, Open-label, Multicenter, Phase 1 Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy of PYX-201 in Participants With Advanced Solid Tumors",I,Open,Pyxis Oncology,"Oncology: Breast; Oncology: Head/Neck; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Pancreas; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Thyroid",HER2 positive; Locally advanced; Metastatic; Second line; Stage III; Stage IV,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Fibrosarcoma; Head and Neck Neoplasms; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Liver Neoplasms; Ovarian Neoplasms; Pancreatic Neoplasms; Rhabdomyosarcoma; Sarcoma; Synovial Sarcoma; Thyroid Neoplasms; Wilms Tumor",United States
Phase Ib Study of EZH1/2 Inhibitor Valemetostat in Combination With Trastuzumab Deruxtecan in Subjects With HER2 Low/Ultra-low/Null Metastatic Breast Cancer,I,Open,"MD Anderson Cancer Center, University of Texas
Daiichi Sankyo",Oncology: Breast,HER2 negative; Second line; Stage IV,Breast Neoplasms,United States
"FIH Phase 1A /1B Study of AG01 Antibody Against Progranulin/GP88 in Advanced Solid Tumor Malignancies With Expansion Cohorts in Advanced Triple Negative Breast Ca, Hormone Resistant Breast Ca, Non Small Cell Lung Cancer and Mesothelioma",I,Open,"University of Maryland Greenebaum Cancer Center
A&G Pharmaceutical","Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Mesothelioma; Oncology: Ovarian; Oncology: Unspecified Solid Tumor",(N/A); Estrogen receptor positive; HER2 negative; Line of therapy N/A; PD-1 Refractory; PD-L1 Positive; PD-L1 Refractory; Progesterone receptor positive; Second line; Stage III; Stage IV; Triple receptor negative,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; Mesothelioma; Mesothelioma, Malignant; Neoplasms; Ovarian Neoplasms; Triple Negative Breast Neoplasms",United States
"A Phase I, Open-label, Multicenter Study of BMS-986360/CC-90001 Alone and in Combination With Chemotherapy or Nivolumab in Advanced Solid Tumors",I,Open,Bristol-Myers Squibb,"Oncology: Breast; Oncology: Colorectal; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Osteosarcoma; Oncology: Pancreas; Oncology: Renal; Oncology: Soft Tissue Sarcoma; Oncology: Unspecified Solid Tumor",HER2 negative; Line of therapy N/A; Metastatic; MSS/pMMR; Stage III; Stage IV; Triple receptor negative; Unresectable,"Breast Neoplasms; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Colorectal Neoplasms; Ewing Sarcoma; Fibrosarcoma; Head and Neck Neoplasms; Kidney Neoplasms; Leiomyosarcoma; Liposarcoma; Neoplasms; Osteosarcoma; Pancreatic Neoplasms; Rhabdomyosarcoma; Sarcoma; Synovial Sarcoma; Wilms Tumor",Australia; Canada; Chile; France; Italy; Mexico; Spain; United States
"A Phase I/II, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",I/II,Open,"Regeneron
Sensei Biotherapeutics {Panacea Pharmaceuticals}",Oncology: Bladder; Oncology: Breast; Oncology: Cervical; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Head/Neck; Oncology: Melanoma; Oncology: Ovarian; Oncology: Pancreas; Oncology: Prostate; Oncology: Thyroid; Oncology: Unspecified Solid Tumor,Locally advanced; Metastatic; PD-1 Naive; PD-L1 Naive; Second line; Stage III; Stage IV; Unresectable,Breast Neoplasms; Colorectal Neoplasms; Esophageal Neoplasms; Head and Neck Neoplasms; Melanoma; Ovarian Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms; Stomach Neoplasms; Thyroid Neoplasms; Urethral Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms,United States
"Phase I, Adaptive-design Trial of Human Chimeric Antigen Receptor Modified T Cells in Patients With Mesothelin Expressing Breast Cancer",I,Open,University of Pennsylvania,Oncology: Breast,Estrogen receptor positive; HER2 negative; HER2 positive; Line of therapy N/A; Progesterone receptor positive; Stage III; Stage IV; Triple receptor negative,Breast Neoplasms,United States
