Trial Title,Protocol/Trial ID,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
"Phase II Prospective, Open-Label Randomized Controlled Trial Comparing Standard of Care Therapy With and Without Sequential Cytoreductive Interventions for Patients With Metastatic Foregut Adenocarcinoma and Undetectable Circulating Tumor-Deoxyribose Nucleic Acid (ctDNA) Levels","NCT04931420
TrialTroveID-406769",II,Planned,University of Chicago Medical Center,Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Esophageal; Oncology: Gallbladder; Oncology: Gastric; Oncology: Metastatic Cancer; Oncology: Pancreas; Oncology: Small Intestine,Distal; First line; Hilar; Intrahepatic; Liver mets; Other mets; Peritoneal mets; Resectable; Stage IV,Adenocarcinoma; Bile Duct Neoplasms; Carcinoid Tumor; Cholangiocarcinoma; Esophageal Cancer; Esophageal Neoplasms; Gallbladder Neoplasms; Intestinal Neoplasms; Liver Neoplasms; Neoplasm Metastasis; Pancreatic Cancer; Pancreatic Neoplasms; Peritoneal Neoplasms; Stomach Carcinoma; Stomach Neoplasms,United States
Proof of Concept Study of ctDNA Guided Change in Treatment for Refractory Minimal Residual Disease in Colon Adenocarcinomas,"2020-6152
HS# 2020-6152
NCT04920032
TrialTroveID-406120
UCI 20-43
UCI-20-43",I,Open,"Otsuka Holdings/Taiho Pharmaceutical
(Other Hospital/Academic/Medical Center)
Natera",Oncology: Colorectal,Adjuvant; Stage II; Stage III; Stage IV,"Adenocarcinoma; Colorectal Neoplasms; Neoplasm, Residual",United States
Phase II Trial of Belantamab Mafodotin Consolidation Treatment in Patients With Multiple Myeloma and MRD Positivity After Autologous Stem Cell Transplantation,"I 797720
NCI-2021-02349
NCT04876248
TrialTroveID-403414",II,Open,"GlaxoSmithKline
Roswell Park Cancer Institute",Oncology: Multiple Myeloma,(N/A); Maintenance/Consolidation; Second line,"Multiple Myeloma; Neoplasms, Plasma Cell",United States
A Phase II Randomized Therapeutic Optimization Trial for Subjects With Refractory Metastatic Colorectal Cancer Using ctDNA: Rapid 1 Trial,"IRB202100341
NCT04786600
OCR40199
UF-STO-GI-012",II,Open,"University of Florida
Natera, Inc.",Unassigned,,Colorectal Neoplasms,United States
"A Phase III, Double-Blind, Multicenter, Randomized Study of Atezolizumab (Anti-PDL1 Antibody) Versus Placebo as Adjuvant Therapy in Patients With High-Risk Muscle-Invasive Bladder Cancer Who Are ctDNA Positive Following Cystectomy","BO42843
CTR20212032
EudraCT Number: 2020-004418-36
IMvigor011
jRCT2031210016
NCI-2022-09213
NCT04660344
TrialTroveID-391373",III,Open,"Roche/Chugai Pharmaceutical
Roche {F. Hoffmann-La Roche}",Oncology: Bladder,Adjuvant; PD-L1 Positive; Stage II; Stage III; Stage IV,Urethral Neoplasms; Urinary Bladder Neoplasms,"Argentina; Australia; Belgium; Brazil; Canada; China; Colombia; Czech Republic; France; Germany; Greece; Hong Kong, S.A.R., China; Ireland; Israel; Italy; Japan; Poland; Russia; South Korea; Spain; Taiwan, China; Turkey; Ukraine; United Kingdom; United States"
Adjuvant Durvalumab for Early comStage NSCLC Patients With ctDNA Minimal Residual Disease,"LUN0115
NCI-2021-03445
NCT04585477
TrialTroveID-386857",II,Open,"AstraZeneca
Stanford University Medical Center","Oncology: Lung, Non-Small Cell",Adjuvant; PD-L1 Positive; Stage I; Stage II; Stage III,"Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; Neoplasm, Residual",United States
"A Phase II Study of MRD Adapted Therapy With Venetoclax-obinutuzumab in Patients With High or Intermediate BALL Risk Relapsed or Refractory CLL, With Addition of Acalabrutinib in Patients Who Fail to Achieve MRD Eradication","19-743
NCT04560322
TrialTroveID-385229",II,Open,"Massachusetts General Hospital
Roche/Genentech","Oncology: Leukemia, Chronic Lymphocytic; Oncology: Lymphoma, Non-Hodgkin's",(N/A); Indolent; Second line; Small lymphocytic lymphoma (SLL),"Chronic Lymphocytic Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin",United States
"A Phase IV, Multi-center Open-label Feasibility Study to Evaluate Outpatient Blinatumomab Administration in Adult Subjects With Minimal Residual Disease (MRD) of B-precursor Acute Lymphoblastic Leukemia (ALL) in Complete Hematologic Remission","20190014
NCI-2020-06780
NCT04506086
TrialTroveID-381506",IV,Open,Amgen,"Oncology: Leukemia, Acute Lymphocytic",B-cell; Maintenance/Consolidation; Remission,"Leukemia; Leukemia, Lymphoid; Neoplasm, Residual; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
"A Multi-site, Open-label, Phase II, Randomized, Controlled Trial to Compare the Efficacy of RO7198457 Versus Watchful Waiting in Resected, Stage II (High Risk) and Stage III Colorectal Cancer Patients Who Are ctDNA Positive Following Resection","2020-1060
BNT122-01
EudraCT Number: 2020-000451-12
IRAS ID: 1005451
NCT04486378
TrialTroveID-380266
U1111-1250-5294",II,Open,BioNTech/BioNTech RNA Pharmaceuticals {Ribological},Oncology: Colorectal,Adjuvant; Stage II; Stage III,Colorectal Neoplasms,Belgium; Germany; Spain; United States
"A Phase II Study of Adjuvant Treatment With Cisplatin-based Chemotherapy Plus Concomitant Atezolizumab in Patients With Stage I (Tumors ≥ 4cm), IIA, IIB, and Select Stage III [Any T1-3 N1-2 and T4N0-2] Resected Non-small Cell Lung Cancer (NSCLC) and the Clearance of Circulating Tumor DNA (ctDNA) Big Ten Cancer Research Consortium BTCRC-LUN19-396","032007
BTCRC-LUN19-396
CTO-BTCRC-LUN19-396
LUN19-396
NCI-2020-04539
NCT04367311
PSCI-20-102
S21-00482
TrialTroveID-373358",II,Open,"(Other Cooperative Group)
Roche/Genentech","Oncology: Lung, Non-Small Cell",Adenocarcinoma; Adjuvant; Large Cell; Maintenance/Consolidation; Squamous Cell; Stage I; Stage II; Stage III,"Carcinoma, Non-Small-Cell Lung; Lung Neoplasms",United States
A Phase I Multi-dose Study of Human Placental Hematopoietic Stem Cell Derived Natural Killer Cells (CYNK-001) With or Without Recombinant Human Interleukin-2 (rhIL-2) in Adults With Primary or Secondary Acute Myeloid Leukemia (AML) in Morphologic Complete Remission With Minimal Residual Disease (MRD) or Relapsed/Refractory (R/R) AML,"567819
CYNK-001-AML-001
CYNK001AML01
NCI-2020-06107
NCT04310592
TrialTroveID-369954",I,Open,Celularity,"Oncology: Leukemia, Acute Myelogenous",First line; Maintenance/Consolidation; Remission; Second line,"Acute Myelocytic Leukemia; Hematologic Diseases; Hematologic Neoplasms; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Neoplasms; Neoplasms by Histologic Type",United States
Blockade of PD-1 Added to Standard Therapy to Target Measurable Residual Disease in Acute Myeloid Leukemia 1 (BLAST MRD AML-1): A Randomized Phase II Study of the Anti-PD-1 Antibody Pembrolizumab in Combination With Conventional Intensive Chemotherapy as Frontline Therapy in Patients With Acute Myeloid Leukemia,"10300
2000028858
Blast MRD AML-1
NCI-2019-08626
NCT04214249
TrialTroveID-364697",II,Open,National Institutes of Health/National Cancer Institute,"Oncology: Leukemia, Acute Myelogenous",First line; Maintenance/Consolidation; Remission,"Acute Myelocytic Leukemia; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes",United States
Inotuzumab Ozogamicin for Children With MRD Positive CD22+ Lymphoblastic Leukemia,"INOMRD
NCI-2019-01062
NCT03913559
TrialTroveID-347397",II,Open,"Pfizer
St. Jude Children's Research Hospital","Oncology: Leukemia, Acute Lymphocytic",B-cell; First line; Pediatric or Adolescent; Untreated,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
A Randomized Study Evaluating Tailoring of Advanced/Metastatic Colorectal Cancer (CRC) Therapy Using Circulating Cell-Free Tumor DNA (ctDNA) (TACT-D),"2018-0233
NCI-2019-00246
NCT03844620
TACT-D
TrialTroveID-343566",II,Open,"MD Anderson Cancer Center, University of Texas
National Institutes of Health/National Cancer Institute
Guardant Health",Oncology: Colorectal,Stage III; Stage IV; Third line,Colorectal Neoplasms,United States
A Phase II Trial of Fractionated Gemtuzumab Ozogamicin to Eradicate Measurable Residual Disease in Acute Myeloid Leukemia Patients (GO for MRD),"9966
NCI-2018-01613
NCT03737955
RG1018001
TrialTroveID-336657",II,Open,"National Institutes of Health/National Cancer Institute
Pfizer
University of Washington","Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome; Oncology: Myeloproliferative Neoplasms",High risk; Maintenance/Consolidation; Pediatric or Adolescent; Remission; Second line,"Acute Myelocytic Leukemia; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Myeloproliferative Disorders",United States
A Phase II Trial of Tisagenlecleucel in First-Line High-Risk (HR) Pediatric And Young Adult Patients With B-Cell Acute Lymphoblastic Leukemia (B-ALL) Who Are Minimal Residual Disease (MRD) Positive At The End of Consolidation (EOC) Therapy.,"AALL1721
CASSIOPEIA
CCTL019G2201J
CCTL019G2201J - CASSIOPEIA
EudraCT Number: 2017-002116-14
NCI-2019-02353
NCT03876769
NL66137.000.18
TrialTroveID-333028
XX-0064",II,Open,"Novartis
Children’s Oncology Group","Oncology: Leukemia, Acute Lymphocytic",B-cell; First line; High risk; Maintenance/Consolidation; Pediatric or Adolescent; Remission; Untreated,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",Belgium; Canada; Denmark; Finland; France; Germany; Italy; Netherlands; Norway; Spain; Sweden; United Kingdom; United States
A Phase II Pilot Trial to Estimate Survival After a Non-total Body Irradiation (TBI) Based Conditioning Regimen in Patients Diagnosed With Acute Lymphoblastic Leukemia (ALL) Who Are Pre-allogeneic Hematopoietic Cell Transplantation (HCT) Next-generation-sequence (NGS) Minimal Residual Disease (MRD) Negative,"(PTCTC) ONC1701
19-147
2018-0964
466719
CMH - ONC1701
EndRAD Trial
NCI-20-C-0042
NCI-2019-02525
NCT03509961
OCR18817
PBMTC ONC1701
PBMTC ONC1701 EndRAD
PHO-PBMTC-ENDRAD
PTCTC ONC1701
TrialTroveID-323354
TX10162",II,Open,(Other Hospital/Academic/Medical Center),"Oncology: Leukemia, Acute Lymphocytic",B-cell; High risk; Pediatric or Adolescent; Remission; Second line; T-cell,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
